subject,hemisphere,dataType,label,dice
013,right,NoDenoising,2,0
013,right,NoDenoising,3,0.737621
013,right,NoDenoising,4,0.37785
013,right,NoDenoising,8,0.506733
013,right,NoDenoising,9,0.516892
013,right,NoDenoising,11,0.537155
013,right,NoDenoising,12,0.6499
014,right,NoDenoising,all,0.517599
014,right,NoDenoising,1,0.642553
014,right,NoDenoising,2,0
014,right,NoDenoising,3,0.637084
014,right,NoDenoising,4,0.261438
014,right,NoDenoising,8,0.549689
014,right,NoDenoising,9,0.424421
014,right,NoDenoising,11,0.2703
014,right,NoDenoising,12,0.474824
015,right,NoDenoising,all,0.610333
015,right,NoDenoising,1,0.635362
015,right,NoDenoising,2,0
015,right,NoDenoising,3,0.687543
015,right,NoDenoising,4,0.327791
015,right,NoDenoising,8,0.372201
015,right,NoDenoising,9,0.563348
015,right,NoDenoising,11,0.441198
015,right,NoDenoising,12,0.684118
016,right,NoDenoising,all,0.538208
016,right,NoDenoising,1,0.693588
016,right,NoDenoising,2,0.0895522
016,right,NoDenoising,3,0.777058
016,right,NoDenoising,4,0.420765
016,right,NoDenoising,8,0.627376
016,right,NoDenoising,9,0.656604
016,right,NoDenoising,11,0.391159
016,right,NoDenoising,12,0.292706
017,right,NoDenoising,all,0.631144
017,right,NoDenoising,1,0.683254
017,right,NoDenoising,2,0.379747
017,right,NoDenoising,3,0.721481
017,right,NoDenoising,4,0.49789
017,right,NoDenoising,8,0.568306
017,right,NoDenoising,9,0.674157
017,right,NoDenoising,11,0.357858
017,right,NoDenoising,12,0.61449
018,right,NoDenoising,all,0.62294
018,right,NoDenoising,1,0.694449
018,right,NoDenoising,2,0.0909091
018,right,NoDenoising,3,0.76649
018,right,NoDenoising,4,0.357616
018,right,NoDenoising,8,0.602332
018,right,NoDenoising,9,0.552859
018,right,NoDenoising,11,0.522947
018,right,NoDenoising,12,0.544093
019,right,NoDenoising,all,0.493183
019,right,NoDenoising,1,0.608901
019,right,NoDenoising,2,0
019,right,NoDenoising,3,0.647006
019,right,NoDenoising,4,0.174312
019,right,NoDenoising,8,0.559805
019,right,NoDenoising,9,0.697778
019,right,NoDenoising,11,0.154799
019,right,NoDenoising,12,0.319306
020,right,NoDenoising,all,0.707649
020,right,NoDenoising,1,0.720702
020,right,NoDenoising,2,0.0888889
020,right,NoDenoising,3,0.76428
020,right,NoDenoising,4,0.494279
020,right,NoDenoising,8,0.572502
020,right,NoDenoising,9,0.75153
020,right,NoDenoising,11,0.752796
020,right,NoDenoising,12,0.677478
021,right,NoDenoising,all,0.552683
021,right,NoDenoising,1,0.636872
021,right,NoDenoising,2,0
021,right,NoDenoising,3,0.628198
021,right,NoDenoising,4,0.341463
021,right,NoDenoising,8,0.463768
021,right,NoDenoising,9,0.46281
021,right,NoDenoising,11,0.409823
021,right,NoDenoising,12,0.55714
022,right,NoDenoising,all,0.604684
022,right,NoDenoising,1,0.662378
022,right,NoDenoising,2,0.123077
022,right,NoDenoising,3,0.690963
022,right,NoDenoising,4,0.336842
022,right,NoDenoising,8,0.643887
022,right,NoDenoising,9,0.636821
022,right,NoDenoising,11,0.503429
022,right,NoDenoising,12,0.54081
023,right,NoDenoising,all,0.703122
023,right,NoDenoising,1,0.65545
023,right,NoDenoising,2,0.282353
023,right,NoDenoising,3,0.724579
023,right,NoDenoising,4,0.37037
023,right,NoDenoising,8,0.625
023,right,NoDenoising,9,0.775956
023,right,NoDenoising,11,0.732845
023,right,NoDenoising,12,0.738566
024,right,NoDenoising,all,0.625282
024,right,NoDenoising,1,0.620578
024,right,NoDenoising,2,0.1875
024,right,NoDenoising,3,0.716654
024,right,NoDenoising,4,0.199446
024,right,NoDenoising,8,0.636158
024,right,NoDenoising,9,0.691755
024,right,NoDenoising,11,0.498204
024,right,NoDenoising,12,0.607646
025,right,NoDenoising,all,0.52622
025,right,NoDenoising,1,0.682637
025,right,NoDenoising,2,0
025,right,NoDenoising,3,0.731723
025,right,NoDenoising,4,0.336
025,right,NoDenoising,8,0.607573
025,right,NoDenoising,9,0.647151
025,right,NoDenoising,11,0.198593
025,right,NoDenoising,12,0.23538
026,right,NoDenoising,all,0.474825
