subject,hemisphere,dataType,label,dice
s1,right,NoDenoising,all,0.747397
s1,right,NoDenoising,14,0.753353
s1,right,NoDenoising,16,0.747622
s1,right,NoDenoising,18,0.740612
s10,right,NoDenoising,all,0.76596
s10,right,NoDenoising,14,0.736041
s10,right,NoDenoising,16,0.779393
s10,right,NoDenoising,18,0.769539
s11,right,NoDenoising,all,0.675496
s11,right,NoDenoising,14,0.683603
s11,right,NoDenoising,16,0.695734
s11,right,NoDenoising,18,0.611127
s12,right,NoDenoising,all,0.663955
s12,right,NoDenoising,14,0.648933
s12,right,NoDenoising,16,0.683488
s12,right,NoDenoising,18,0.632245
s13,right,NoDenoising,all,0.763802
s13,right,NoDenoising,14,0.741123
s13,right,NoDenoising,16,0.777203
s13,right,NoDenoising,18,0.756609
s14,right,NoDenoising,all,0.750262
s14,right,NoDenoising,14,0.729122
s14,right,NoDenoising,16,0.763322
s14,right,NoDenoising,18,0.735632
s15,right,NoDenoising,all,0.757888
s15,right,NoDenoising,14,0.697214
s15,right,NoDenoising,16,0.785753
s15,right,NoDenoising,18,0.751401
s16,right,NoDenoising,all,0.74724
s16,right,NoDenoising,14,0.665851
s16,right,NoDenoising,16,0.776522
s16,right,NoDenoising,18,0.751131
s17,right,NoDenoising,all,0.6861
s17,right,NoDenoising,14,0.621549
s17,right,NoDenoising,16,0.692491
s17,right,NoDenoising,18,0.736523
s18,right,NoDenoising,all,0.746569
s18,right,NoDenoising,14,0.716523
s18,right,NoDenoising,16,0.759528
s18,right,NoDenoising,18,0.742998
s19,right,NoDenoising,all,0.76997
s19,right,NoDenoising,14,0.700698
s19,right,NoDenoising,16,0.779167
s19,right,NoDenoising,18,0.818182
s2,right,NoDenoising,all,0.72384
s2,right,NoDenoising,14,0.656173
s2,right,NoDenoising,16,0.74294
s2,right,NoDenoising,18,0.75978
s3,right,NoDenoising,all,0.755898
s3,right,NoDenoising,14,0.71489
s3,right,NoDenoising,16,0.768427
s3,right,NoDenoising,18,0.772475
s4,right,NoDenoising,all,0.716655
s4,right,NoDenoising,14,0.706066
s4,right,NoDenoising,16,0.719518
s4,right,NoDenoising,18,0.723517
s5,right,NoDenoising,all,0.744313
s5,right,NoDenoising,14,0.680338
