subject,hemisphere,dataType,label,dice
017,right,NoDenoising,2,0.379747
017,right,NoDenoising,3,0.719247
017,right,NoDenoising,4,0.420091
017,right,NoDenoising,8,0.564579
017,right,NoDenoising,9,0.727566
017,right,NoDenoising,11,0.444444
017,right,NoDenoising,12,0.673663
018,right,NoDenoising,all,0.686227
018,right,NoDenoising,1,0.737377
018,right,NoDenoising,2,0.16
018,right,NoDenoising,3,0.781923
018,right,NoDenoising,4,0.45098
018,right,NoDenoising,8,0.633129
018,right,NoDenoising,9,0.640031
018,right,NoDenoising,11,0.647059
018,right,NoDenoising,12,0.638054
019,right,NoDenoising,all,0.513428
019,right,NoDenoising,1,0.582944
019,right,NoDenoising,2,0
019,right,NoDenoising,3,0.631304
019,right,NoDenoising,4,0.221344
019,right,NoDenoising,8,0.589546
019,right,NoDenoising,9,0.72171
019,right,NoDenoising,11,0.298279
019,right,NoDenoising,12,0.368472
020,right,NoDenoising,all,0.748108
020,right,NoDenoising,1,0.746806
020,right,NoDenoising,2,0.0888889
020,right,NoDenoising,3,0.762421
020,right,NoDenoising,4,0.432692
020,right,NoDenoising,8,0.613021
020,right,NoDenoising,9,0.775973
020,right,NoDenoising,11,0.778247
020,right,NoDenoising,12,0.789777
021,right,NoDenoising,all,0.589275
021,right,NoDenoising,1,0.652247
021,right,NoDenoising,2,0
021,right,NoDenoising,3,0.651564
021,right,NoDenoising,4,0.27027
021,right,NoDenoising,8,0.457198
021,right,NoDenoising,9,0.460137
021,right,NoDenoising,11,0.460432
021,right,NoDenoising,12,0.637407
022,right,NoDenoising,all,0.645211
022,right,NoDenoising,1,0.68098
022,right,NoDenoising,2,0.186667
022,right,NoDenoising,3,0.703768
022,right,NoDenoising,4,0.377551
022,right,NoDenoising,8,0.676456
022,right,NoDenoising,9,0.708929
022,right,NoDenoising,11,0.559898
022,right,NoDenoising,12,0.598725
023,right,NoDenoising,all,0.739132
023,right,NoDenoising,1,0.692995
023,right,NoDenoising,2,0.258824
023,right,NoDenoising,3,0.740177
023,right,NoDenoising,4,0.362069
023,right,NoDenoising,8,0.658009
023,right,NoDenoising,9,0.784591
023,right,NoDenoising,11,0.75529
023,right,NoDenoising,12,0.805683
024,right,NoDenoising,all,0.682229
024,right,NoDenoising,1,0.668223
024,right,NoDenoising,2,0.193103
024,right,NoDenoising,3,0.762966
024,right,NoDenoising,4,0.258953
024,right,NoDenoising,8,0.676141
024,right,NoDenoising,9,0.693798
024,right,NoDenoising,11,0.534342
024,right,NoDenoising,12,0.716493
025,right,NoDenoising,all,0.597828
025,right,NoDenoising,1,0.772177
025,right,NoDenoising,2,0.0322581
025,right,NoDenoising,3,0.778852
025,right,NoDenoising,4,0.371681
025,right,NoDenoising,8,0.642743
025,right,NoDenoising,9,0.652744
025,right,NoDenoising,11,0.357475
025,right,NoDenoising,12,0.338086
026,right,NoDenoising,all,0.517321
026,right,NoDenoising,1,0.616243
026,right,NoDenoising,2,0
026,right,NoDenoising,3,0.607412
026,right,NoDenoising,4,0.335616
026,right,NoDenoising,8,0.310534
026,right,NoDenoising,9,0.4
026,right,NoDenoising,11,0.400896
026,right,NoDenoising,12,0.511759
027,right,NoDenoising,all,0.694257
027,right,NoDenoising,1,0.719543
027,right,NoDenoising,2,0.528302
027,right,NoDenoising,3,0.736929
027,right,NoDenoising,4,0.291188
027,right,NoDenoising,8,0.547519
027,right,NoDenoising,9,0.637017
027,right,NoDenoising,11,0.71828
027,right,NoDenoising,12,0.710379
028,right,NoDenoising,all,0.502486
028,right,NoDenoising,1,0.630352
028,right,NoDenoising,2,0
028,right,NoDenoising,3,0.59173
028,right,NoDenoising,4,0.196203
028,right,NoDenoising,8,0.328338
028,right,NoDenoising,9,0.46468
028,right,NoDenoising,11,0.222819
028,right,NoDenoising,12,0.519895
000,left,NoDenoising,all,0.767662
000,left,NoDenoising,1,0.797196
000,left,NoDenoising,2,0.153846
000,left,NoDenoising,3,0.822309
000,left,NoDenoising,4,0.358974
000,left,NoDenoising,8,0.744755
000,left,NoDenoising,9,0.817734
000,left,NoDenoising,11,0.639594
000,left,NoDenoising,12,0.750942
001,left,NoDenoising,all,0.765593
001,left,NoDenoising,1,0.778443
001,left,NoDenoising,2,0
001,left,NoDenoising,3,0.805615
001,left,NoDenoising,4,0.566929
001,left,NoDenoising,8,0.650971
001,left,NoDenoising,9,0.734448
001,left,NoDenoising,11,0.711167
001,left,NoDenoising,12,0.808001
002,left,NoDenoising,all,0.708725
002,left,NoDenoising,1,0.757024
002,left,NoDenoising,2,0.3125
002,left,NoDenoising,3,0.77911
002,left,NoDenoising,4,0.402439
002,left,NoDenoising,8,0.619923
002,left,NoDenoising,9,0.689296
002,left,NoDenoising,11,0.646237
002,left,NoDenoising,12,0.683954
003,left,NoDenoising,all,0.59813
003,left,NoDenoising,1,0.662698
003,left,NoDenoising,2,0.322581
003,left,NoDenoising,3,0.732648
003,left,NoDenoising,4,0.107595
003,left,NoDenoising,8,0.462428
003,left,NoDenoising,9,0.679468
003,left,NoDenoising,11,0.385154
003,left,NoDenoising,12,0.567336
004,left,NoDenoising,all,0.688395
004,left,NoDenoising,1,0.740708
004,left,NoDenoising,2,0.0294118
004,left,NoDenoising,3,0.745155
004,left,NoDenoising,4,0.346591
004,left,NoDenoising,8,0.582946
004,left,NoDenoising,9,0.677271
004,left,NoDenoising,11,0.549492
004,left,NoDenoising,12,0.692667
005,left,NoDenoising,all,0.595094
005,left,NoDenoising,1,0.619813
005,left,NoDenoising,2,0
005,left,NoDenoising,3,0.654698
005,left,NoDenoising,4,0.15534
005,left,NoDenoising,8,0.385488
005,left,NoDenoising,9,0.661812
005,left,NoDenoising,11,0.652374
005,left,NoDenoising,12,0.574081
006,left,NoDenoising,all,0.576177
006,left,NoDenoising,1,0.593172
006,left,NoDenoising,2,0
006,left,NoDenoising,3,0.670223
006,left,NoDenoising,4,0.229885
006,left,NoDenoising,8,0.609576
006,left,NoDenoising,9,0.674273
006,left,NoDenoising,11,0.582572
006,left,NoDenoising,12,0.515847
007,left,NoDenoising,all,0.567248
007,left,NoDenoising,1,0.612891
007,left,NoDenoising,2,0
007,left,NoDenoising,3,0.676377
007,left,NoDenoising,4,0.186441
007,left,NoDenoising,8,0.537053
007,left,NoDenoising,9,0.628849
007,left,NoDenoising,11,0.566612
007,left,NoDenoising,12,0.487574
008,left,NoDenoising,all,0.626635
008,left,NoDenoising,1,0.669925
008,left,NoDenoising,2,0
008,left,NoDenoising,3,0.707703
008,left,NoDenoising,4,0.325792
008,left,NoDenoising,8,0.6206
008,left,NoDenoising,9,0.709927
008,left,NoDenoising,11,0.597491
008,left,NoDenoising,12,0.556351
009,left,NoDenoising,all,0.693472
009,left,NoDenoising,1,0.73521
009,left,NoDenoising,2,0.08
009,left,NoDenoising,3,0.762164
009,left,NoDenoising,4,0.26936
009,left,NoDenoising,8,0.549451
009,left,NoDenoising,9,0.697449
009,left,NoDenoising,11,0.491709
009,left,NoDenoising,12,0.722823
010,left,NoDenoising,all,0.519983
010,left,NoDenoising,1,0.596952
010,left,NoDenoising,2,0
010,left,NoDenoising,3,0.620024
010,left,NoDenoising,4,0.298755
010,left,NoDenoising,8,0.47313
010,left,NoDenoising,9,0.378063
010,left,NoDenoising,11,0.494907
